Name,Height,Mountain Group,Link
Zagorelec,2090 m,,https://www.hribi.net/gora/zagorelec/1/3465
Poldašnja špica/Jof di Miezegnot,2087 m,,https://www.hribi.net/gora/poldasnja_spica_jof_di_miezegnot/1/657
Ogradi,2087 m,,https://www.hribi.net/gora/ogradi/1/323
Šitna glava,2087 m,,https://www.hribi.net/gora/sitna_glava/1/273
Tolminski Kuk,2085 m,,https://www.hribi.net/gora/tolminski_kuk/1/153
Zadnjiški Ozebnik,2084 m,,https://www.hribi.net/gora/zadnjiski_ozebnik/1/676
Sleme,2077 m,,https://www.hribi.net/gora/sleme/1/332
Slatna,2077 m,,https://www.hribi.net/gora/slatna/1/279
Prevalski Stog,2075 m,,https://www.hribi.net/gora/prevalski_stog/1/378
Rigljica,2074 m,,https://www.hribi.net/gora/rigljica/1/2318
Kamniti lovec / Cima del Cacciatore,2071 m,,https://www.hribi.net/gora/kamniti_lovec___cima_del_cacciatore/1/662
Zasavska koča na Prehodavcih,2071 m,,https://www.hribi.net/gora/zasavska_koca_na_prehodavcih/1/175
Mala Tičarica,2071 m,,https://www.hribi.net/gora/mala_ticarica/1/151
Visoki Pipar,2069 m,,https://www.hribi.net/gora/visoki_pipar/1/3858
Zavetišče pod Špičkom,2064 m,,https://www.hribi.net/gora/zavetisce_pod_spickom/1/210
Poldnik (Kopa) / Picco di Mezzodi,2063 m,,https://www.hribi.net/gora/poldnik_kopa___picco_di_mezzodi/1/3289
Podrta gora,2061 m,,https://www.hribi.net/gora/podrta_gora/1/2680
Veliki Pršivec,2056 m,,https://www.hribi.net/gora/veliki_prsivec/1/506
Vrh nad Škrbino,2054 m,,https://www.hribi.net/gora/vrh_nad_skrbino/1/698
Zeleni vrh,2052 m,,https://www.hribi.net/gora/zeleni_vrh/1/1888
Pogačnikov dom na Kriških podih,2050 m,,https://www.hribi.net/gora/pogacnikov_dom_na_kriskih_podih/1/164
Viševnik,2050 m,,https://www.hribi.net/gora/visevnik/1/77
Jelenk,2049 m,,https://www.hribi.net/gora/jelenk/1/3479
Cima Alta (Dve špici),2046 m,,https://www.hribi.net/gora/cima_alta_dve_spici/1/659
Veliki Lemež,2042 m,,https://www.hribi.net/gora/veliki_lemez/1/2988
Bivak Marussich,2041 m,,https://www.hribi.net/gora/bivak_marussich/1/1037
Jezerski Stog,2040 m,,https://www.hribi.net/gora/jezerski_stog/1/259
Na Pečeh,2039 m,,https://www.hribi.net/gora/na_peceh/1/1384
Srednji vrh (nad jezerom v Lužnici),2032 m,,https://www.hribi.net/gora/srednji_vrh_nad_jezerom_v_luznici/1/1595
Drobeče Sleme,2029 m,,https://www.hribi.net/gora/drobece_sleme/1/468
Kreda,2025 m,,https://www.hribi.net/gora/kreda/1/280
Eva,2019 m,,https://www.hribi.net/gora/eva/1/712
Velika Baba,2016 m,,https://www.hribi.net/gora/velika_baba/1/675
Debela peč,2014 m,,https://www.hribi.net/gora/debela_pec/1/84
Lopatnik,2012 m,,https://www.hribi.net/gora/lopatnik/1/2309
Adam,2012 m,,https://www.hribi.net/gora/adam/1/711
Cima Vildiver (Dve špici),2008 m,,https://www.hribi.net/gora/cima_vildiver_dve_spici/1/3585
Mahavšček,2008 m,,https://www.hribi.net/gora/mahavscek/1/327
Brda,2008 m,,https://www.hribi.net/gora/brda/1/263
Rjavo jezero,2006 m,,https://www.hribi.net/gora/rjavo_jezero/1/172
Ablanca,2004 m,,https://www.hribi.net/gora/ablanca/1/461
Lanževica,2003 m,,https://www.hribi.net/gora/lanzevica/1/325
Kal,2001 m,2000 m,https://www.hribi.net/gora/kal/1/936
Meja,1996 m,,https://www.hribi.net/gora/meja/1/1108
Vrh nad Vodeno Rupo,1995 m,,https://www.hribi.net/gora/vrh_nad_vodeno_rupo/1/1538
Zeleno jezero,1988 m,,https://www.hribi.net/gora/zeleno_jezero/1/173
Vratni vrh,1983 m,,https://www.hribi.net/gora/vratni_vrh/1/3478
Vogel (nad Lepeno),1980 m,,https://www.hribi.net/gora/vogel_nad_lepeno/1/2986
Velika Bavha / Monte Robon,1980 m,,https://www.hribi.net/gora/velika_bavha___monte_robon/1/1553
Bivak na Rušju,1980 m,,https://www.hribi.net/gora/bivak_na_rusju/1/216
Draški rob,1979 m,,https://www.hribi.net/gora/draski_rob/1/1788
Bogatin,1977 m,,https://www.hribi.net/gora/bogatin/1/326
Pri Banderi,1974 m,,https://www.hribi.net/gora/pri_banderi/1/1615
Lipanski vrh,1974 m,,https://www.hribi.net/gora/lipanski_vrh/1/82
Vrh Planje,1971 m,,https://www.hribi.net/gora/vrh_planje/1/448
Monte Gosadon,1968 m,,https://www.hribi.net/gora/monte_gosadon/1/3580
Raskovec,1967 m,,https://www.hribi.net/gora/raskovec/1/1099
Rodica,1966 m,,https://www.hribi.net/gora/rodica/1/310
Vrh Ovčje planje,1965 m,,https://www.hribi.net/gora/vrh_ovcje_planje/1/1616
Okroglež,1965 m,,https://www.hribi.net/gora/okroglez/1/1124
Bivak pod Kotovim sedlom,1965 m,,https://www.hribi.net/gora/bivak_pod_kotovim_sedlom/1/723
Mrežce,1965 m,,https://www.hribi.net/gora/mrezce/1/81
Plešivec,1962 m,,https://www.hribi.net/gora/plesivec/1/3474
Debeli vrh nad Lipanco,1962 m,,https://www.hribi.net/gora/debeli_vrh_nad_lipanco/1/339
Velika Montura,1958 m,,https://www.hribi.net/gora/velika_montura/1/2799
Lopič / Monte Plauris,1958 m,,https://www.hribi.net/gora/lopic___monte_plauris/1/2374
Vrh Leh,1958 m,,https://www.hribi.net/gora/vrh_leh/1/1614
Veliki Selišnik,1952 m,,https://www.hribi.net/gora/veliki_selisnik/1/641
Bivak Gorizia,1950 m,,https://www.hribi.net/gora/bivak_gorizia/1/1043
Mali Raskovec,1946 m,,https://www.hribi.net/gora/mali_raskovec/1/1106
Suha Rodica (Novi vrh),1944 m,,https://www.hribi.net/gora/suha_rodica_novi_vrh/1/1107
Veliki Šmohor,1944 m,,https://www.hribi.net/gora/veliki_smohor/1/1055
Prednje Robičje,1941 m,,https://www.hribi.net/gora/prednje_robicje/1/1329
Mali Šmohor,1939 m,,https://www.hribi.net/gora/mali_smohor/1/1054
Matajurski vrh,1936 m,,https://www.hribi.net/gora/matajurski_vrh/1/1105
Vrh Škrli,1926 m,,https://www.hribi.net/gora/vrh_skrli/1/1371
Macesnovec,1926 m,,https://www.hribi.net/gora/macesnovec/1/722
Bela glava,1926 m,,https://www.hribi.net/gora/bela_glava/1/590
Mala Ponca,1925 m,,https://www.hribi.net/gora/mala_ponca/1/1046
Vogel,1922 m,,https://www.hribi.net/gora/vogel/1/588
Rušnati vrh,1915 m,,https://www.hribi.net/gora/rusnati_vrh/1/1109
Rdeči rob,1913 m,,https://www.hribi.net/gora/rdeci_rob/1/1590
Kraljevska špica/Monte Re,1912 m,,https://www.hribi.net/gora/kraljevska_spica_monte_re/1/1278
Slemenova špica,1911 m,,https://www.hribi.net/gora/slemenova_spica/1/240
Speleološki bivak Modonutti - Savoia,1908 m,,https://www.hribi.net/gora/speleoloski_bivak_modonutti_-_savoia/1/1554
Bivak Bernardinis,1907 m,,https://www.hribi.net/gora/bivak_bernardinis/1/658
Mangartska koča na Mangartskem sedlu,1906 m,,https://www.hribi.net/gora/mangartska_koca_na_mangartskem_sedlu/1/93
Mala Rodica,1901 m,,https://www.hribi.net/gora/mala_rodica/1/1098
Kser,1900 m,1900 m,https://www.hribi.net/gora/kser/1/1372
Rušnata glava,1899 m,,https://www.hribi.net/gora/rusnata_glava/1/457
Vrtaški vrh,1898 m,,https://www.hribi.net/gora/vrtaski_vrh/1/469
Poljanski vrh,1897 m,,https://www.hribi.net/gora/poljanski_vrh/1/1104
Vrh Krnic,1896 m,,https://www.hribi.net/gora/vrh_krnic/1/589
Vrh Razora,1893 m,,https://www.hribi.net/gora/vrh_razora/1/291
Studorski preval,1892 m,,https://www.hribi.net/gora/studorski_preval/1/138
Srednji Selišnik,1890 m,,https://www.hribi.net/gora/srednji_selisnik/1/531
Krniška glavica / Jof di Sompdogna,1889 m,,https://www.hribi.net/gora/krniska_glavica___jof_di_sompdogna/1/3566
Klečica,1889 m,,https://www.hribi.net/gora/klecica/1/2123
Velika Glava,1883 m,,https://www.hribi.net/gora/velika_glava/1/3476
Šija,1880 m,,https://www.hribi.net/gora/sija/1/463
Spodnje Kriško jezero,1880 m,,https://www.hribi.net/gora/spodnje_krisko_jezero/1/165
Krsteniški Stog,1879 m,,https://www.hribi.net/gora/krsteniski_stog/1/1624
Konjski vrh,1879 m,,https://www.hribi.net/gora/konjski_vrh/1/1103
Čisti vrh,1875 m,,https://www.hribi.net/gora/cisti_vrh/1/1605
Rifugio Corsi,1874 m,,https://www.hribi.net/gora/rifugio_corsi/1/1042
